symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOGL,2020-12-08 00:00:00+00:00,4.27,4.31,4.24,4.25,250094,3.0668618761,3.0955912613,3.0453148371,3.0524971835,250094,0.0,1.0
GOGL,2020-12-09 00:00:00+00:00,4.4,4.42,4.37,4.4,306352,3.1602323782,3.1745970708,3.1386853392,3.1602323782,306352,0.0,1.0
GOGL,2020-12-10 00:00:00+00:00,4.52,4.56,4.39,4.42,222431,3.2464205339,3.2751499192,3.1530500318,3.1745970708,222431,0.0,1.0
GOGL,2020-12-11 00:00:00+00:00,4.45,4.5,4.43,4.49,143122,3.1961441097,3.2320558413,3.1817794171,3.224873495,143122,0.0,1.0
GOGL,2020-12-14 00:00:00+00:00,4.67,4.75,4.64,4.73,350442,3.3541557286,3.4116144992,3.3326086897,3.3972498065,350442,0.0,1.0
GOGL,2020-12-15 00:00:00+00:00,4.63,4.64,4.54,4.58,245890,3.3254263434,3.3326086897,3.2607852266,3.2895146118,245890,0.0,1.0
GOGL,2020-12-16 00:00:00+00:00,4.62,4.66,4.57,4.64,178666,3.3182439971,3.3469733823,3.2823322655,3.3326086897,178666,0.0,1.0
GOGL,2020-12-17 00:00:00+00:00,4.68,4.7789,4.64,4.66,290850,3.361338075,3.43237148,3.3326086897,3.3469733823,290850,0.0,1.0
GOGL,2020-12-18 00:00:00+00:00,4.81,4.92,4.79,4.85,627483,3.454708577,3.5337143865,3.4403438844,3.4834379623,627483,0.0,1.0
GOGL,2020-12-21 00:00:00+00:00,4.58,4.61,4.52,4.54,331585,3.2895146118,3.3110616508,3.2464205339,3.2607852266,331585,0.0,1.0
GOGL,2020-12-22 00:00:00+00:00,4.51,4.63,4.49,4.61,208734,3.2392381876,3.3254263434,3.224873495,3.3110616508,208734,0.0,1.0
GOGL,2020-12-23 00:00:00+00:00,4.59,4.64,4.57,4.58,112455,3.2966969581,3.3326086897,3.2823322655,3.2895146118,112455,0.0,1.0
GOGL,2020-12-24 00:00:00+00:00,4.62,4.63,4.57,4.6,49511,3.3182439971,3.3254263434,3.2823322655,3.3038793044,49511,0.0,1.0
GOGL,2020-12-28 00:00:00+00:00,4.58,4.69,4.57,4.66,203620,3.2895146118,3.3685204213,3.2823322655,3.3469733823,203620,0.0,1.0
GOGL,2020-12-29 00:00:00+00:00,4.5,4.56,4.44,4.56,241735,3.2320558413,3.2751499192,3.1889617634,3.2751499192,241735,0.0,1.0
GOGL,2020-12-30 00:00:00+00:00,4.64,4.66,4.57,4.57,272509,3.3326086897,3.3469733823,3.2823322655,3.2823322655,272509,0.0,1.0
GOGL,2020-12-31 00:00:00+00:00,4.63,4.67,4.59,4.63,115088,3.3254263434,3.3541557286,3.2966969581,3.3254263434,115088,0.0,1.0
GOGL,2021-01-04 00:00:00+00:00,4.78,4.92,4.73,4.89,338361,3.4331615381,3.5337143865,3.3972498065,3.5121673475,338361,0.0,1.0
GOGL,2021-01-05 00:00:00+00:00,4.86,4.925,4.77,4.87,517830,3.4906203086,3.5373055596,3.4259791918,3.4978026549,517830,0.0,1.0
GOGL,2021-01-06 00:00:00+00:00,4.87,4.89,4.82,4.86,195389,3.4978026549,3.5121673475,3.4618909234,3.4906203086,195389,0.0,1.0
GOGL,2021-01-07 00:00:00+00:00,5.0,5.01,4.93,4.98,517529,3.591173157,3.5983555033,3.5408967328,3.5768084644,517529,0.0,1.0
GOGL,2021-01-08 00:00:00+00:00,5.42,5.42,5.33,5.33,550009,3.8928317022,3.8928317022,3.8281905854,3.8281905854,550009,0.0,1.0
GOGL,2021-01-11 00:00:00+00:00,5.42,5.47,5.25,5.28,572999,3.8928317022,3.9287434338,3.7707318149,3.7922788538,572999,0.0,1.0
GOGL,2021-01-12 00:00:00+00:00,5.39,5.41,5.21,5.27,741702,3.8712846632,3.8856493559,3.7420024296,3.7850965075,741702,0.0,1.0
GOGL,2021-01-13 00:00:00+00:00,5.25,5.27,5.19,5.24,798895,3.7707318149,3.7850965075,3.727637737,3.7635494685,798895,0.0,1.0
GOGL,2021-01-14 00:00:00+00:00,5.32,5.37,5.09,5.12,905039,3.8210082391,3.8569199706,3.6558142738,3.6773613128,905039,0.0,1.0
GOGL,2021-01-15 00:00:00+00:00,5.23,5.26,5.19,5.25,587091,3.7563671222,3.7779141612,3.727637737,3.7707318149,587091,0.0,1.0
GOGL,2021-01-19 00:00:00+00:00,5.5,5.59,5.35,5.36,631303,3.9502904727,4.0149315895,3.842555278,3.8497376243,631303,0.0,1.0
GOGL,2021-01-20 00:00:00+00:00,5.52,5.56,5.46,5.51,382877,3.9646551653,3.9933845506,3.9215610874,3.957472819,382877,0.0,1.0
GOGL,2021-01-21 00:00:00+00:00,5.5,5.54,5.41,5.48,290528,3.9502904727,3.979019858,3.8856493559,3.9359257801,290528,0.0,1.0
GOGL,2021-01-22 00:00:00+00:00,5.34,5.35,5.26,5.35,275025,3.8353729317,3.842555278,3.7779141612,3.842555278,275025,0.0,1.0
GOGL,2021-01-25 00:00:00+00:00,5.1,5.12,4.955,4.955,703471,3.6629966201,3.6773613128,3.5588525986,3.5588525986,703471,0.0,1.0
GOGL,2021-01-26 00:00:00+00:00,5.0,5.02,4.935,5.01,462148,3.591173157,3.6055378496,3.544487906,3.5983555033,462148,0.0,1.0
GOGL,2021-01-27 00:00:00+00:00,4.69,4.79,4.63,4.7,414322,3.3685204213,3.4403438844,3.3254263434,3.3757027676,414322,0.0,1.0
GOGL,2021-01-28 00:00:00+00:00,4.69,4.73,4.64,4.7,312594,3.3685204213,3.3972498065,3.3326086897,3.3757027676,312594,0.0,1.0
GOGL,2021-01-29 00:00:00+00:00,4.74,4.89,4.71,4.75,436934,3.4044321528,3.5121673475,3.3828851139,3.4116144992,436934,0.0,1.0
GOGL,2021-02-01 00:00:00+00:00,4.87,4.89,4.74,4.81,327214,3.4978026549,3.5121673475,3.4044321528,3.454708577,327214,0.0,1.0
GOGL,2021-02-02 00:00:00+00:00,4.87,4.89,4.7773,4.82,450204,3.4978026549,3.5121673475,3.4312223046,3.4618909234,450204,0.0,1.0
GOGL,2021-02-03 00:00:00+00:00,5.0,5.05,4.87,4.89,561965,3.591173157,3.6270848886,3.4978026549,3.5121673475,561965,0.0,1.0
GOGL,2021-02-04 00:00:00+00:00,5.1,5.13,4.99,5.01,452905,3.6629966201,3.6845436591,3.5839908107,3.5983555033,452905,0.0,1.0
GOGL,2021-02-05 00:00:00+00:00,5.21,5.27,5.1,5.11,647291,3.7420024296,3.7850965075,3.6629966201,3.6701789665,647291,0.0,1.0
GOGL,2021-02-08 00:00:00+00:00,5.12,5.17,5.0808,5.1,420901,3.6773613128,3.7132730443,3.6492065152,3.6629966201,420901,0.0,1.0
GOGL,2021-02-09 00:00:00+00:00,5.37,5.42,5.18,5.24,487430,3.8569199706,3.8928317022,3.7204553907,3.7635494685,487430,0.0,1.0
GOGL,2021-02-10 00:00:00+00:00,5.47,5.53,5.43,5.49,399527,3.9287434338,3.9718375116,3.9000140485,3.9431081264,399527,0.0,1.0
GOGL,2021-02-11 00:00:00+00:00,5.605,5.64,5.36,5.39,775439,4.025705109,4.0508433211,3.8497376243,3.8712846632,775439,0.0,1.0
GOGL,2021-02-12 00:00:00+00:00,5.78,5.9275,5.6,5.62,1988797,4.1513961695,4.2573357776,4.0221139358,4.0364786285,1988797,0.0,1.0
GOGL,2021-02-16 00:00:00+00:00,6.72,6.86,6.5,6.51,1807955,4.826536723,4.9270895714,4.6685251041,4.6757074504,1807955,0.0,1.0
GOGL,2021-02-17 00:00:00+00:00,6.52,7.03,6.46,6.62,2382080,4.6828897967,5.0491894587,4.6397957188,4.7547132599,2382080,0.0,1.0
GOGL,2021-02-18 00:00:00+00:00,6.15,6.27,6.05,6.14,1702868,4.4171429831,4.5033311389,4.34531952,4.4099606368,1702868,0.0,1.0
GOGL,2021-02-19 00:00:00+00:00,6.48,6.505,6.29,6.34,1158634,4.6541604115,4.6721162773,4.5176958315,4.5536075631,1158634,0.0,1.0
GOGL,2021-02-22 00:00:00+00:00,6.42,6.46,6.2,6.25,1151230,4.6110663336,4.6397957188,4.4530547147,4.4889664463,1151230,0.0,1.0
GOGL,2021-02-23 00:00:00+00:00,6.19,6.27,6.07,6.26,598923,4.4458723684,4.5033311389,4.3596842126,4.4961487926,598923,0.0,1.0
GOGL,2021-02-24 00:00:00+00:00,6.28,6.33,6.12,6.19,460690,4.5105134852,4.5464252168,4.3955959442,4.4458723684,460690,0.0,1.0
GOGL,2021-02-25 00:00:00+00:00,6.19,6.42,6.18,6.35,605497,4.4458723684,4.6110663336,4.4386900221,4.5607899094,605497,0.0,1.0
GOGL,2021-02-26 00:00:00+00:00,6.1,6.14,5.98,6.12,620632,4.3812312515,4.4099606368,4.2950430958,4.3955959442,620632,0.0,1.0
GOGL,2021-03-01 00:00:00+00:00,6.28,6.34,6.1777,6.19,388008,4.5105134852,4.5536075631,4.4370380824,4.4458723684,388008,0.0,1.0
GOGL,2021-03-02 00:00:00+00:00,6.57,6.66,6.42,6.45,739891,4.7188015283,4.7834426451,4.6110663336,4.6326133725,739891,0.0,1.0
GOGL,2021-03-03 00:00:00+00:00,6.675,6.75,6.545,6.6,572213,4.7942161646,4.848083762,4.7008456625,4.7403485672,572213,0.0,1.0
GOGL,2021-03-04 00:00:00+00:00,6.41,6.655,6.3,6.52,811474,4.6038839873,4.779851472,4.5248781778,4.6828897967,811474,0.0,1.0
GOGL,2021-03-05 00:00:00+00:00,6.74,6.76,6.5001,6.63,887636,4.8409014156,4.8552661083,4.6685969276,4.7618956062,887636,0.0,1.0
GOGL,2021-03-08 00:00:00+00:00,6.7,6.74,6.61,6.67,644554,4.8121720304,4.8409014156,4.7475309136,4.7906249914,644554,0.0,1.0
GOGL,2021-03-09 00:00:00+00:00,6.69,6.75,6.625,6.67,1700842,4.8049896841,4.848083762,4.758304433,4.7906249914,1700842,0.0,1.0
GOGL,2021-03-10 00:00:00+00:00,6.81,6.84,6.61,6.68,1431611,4.8911778398,4.9127248788,4.7475309136,4.7978073378,1431611,0.0,1.0
GOGL,2021-03-11 00:00:00+00:00,7.02,7.08,6.77,6.87,2555470,5.0420071124,5.0851011903,4.8624484546,4.9342719177,2555470,0.0,1.0
GOGL,2021-03-12 00:00:00+00:00,7.15,7.25,6.9247,6.96,1089816,5.1353776145,5.2072010777,4.9735593521,4.9989130345,1089816,0.0,1.0
GOGL,2021-03-15 00:00:00+00:00,7.26,7.31,7.19,7.25,668441,5.214383424,5.2502951555,5.1641069998,5.2072010777,668441,0.0,1.0
GOGL,2021-03-16 00:00:00+00:00,7.16,7.29,7.1173,7.29,691811,5.1425599608,5.2359304629,5.1118913421,5.2359304629,691811,0.0,1.0
